id,city,county_id,state,type,sort_order
25,Chisago City,13,MN,,
26,Clara City,12,MN,,
27,Grove City,47,MN,,
28,Hill City,1,MN,,
29,Lake City,79,MN,,
30,Lake City,25,MN,,
31,Minnesota City,85,MN,,
32,Pine City,58,MN,,
33,Rush City,13,MN,,
34,Zumbrota,25,MN,,
35,Breckenridge,84,MN,,
36,Breezy Point,18,MN,,
37,Brewster,53,MN,,
38,Bricelyn,22,MN,,
39,Brook Park,58,MN,,
40,Brooklyn Center,27,MN,,
41,Brooklyn Park,27,MN,,
42,Brooks,63,MN,,
43,Brookston,69,MN,,
44,Brooten,73,MN,,
45,Brooten,61,MN,,
46,Browerville,77,MN,,
47,Browns Valley,78,MN,,
48,Brownsdale,50,MN,,
49,Brownsville,28,MN,,
50,Brownton,46,MN,,
51,Bruno,58,MN,,
52,Buckman,49,MN,,
53,Buffalo,86,MN,,
54,Buffalo Lake,65,MN,,
55,Buhl,69,MN,,
56,Burnsville,19,MN,,
57,Burtrum,77,MN,,
58,Butterfield,83,MN,,
59,Byron,55,MN,,
60,Caledonia,28,MN,,
61,Callaway,3,MN,,
62,Calumet,31,MN,,
63,Cambridge,30,MN,,
64,Chickamaw Beach,11,MN,,
65,Chisholm,69,MN,,
66,Chokio,75,MN,,
67,Circle Pines,2,MN,,
68,Claremont,20,MN,,
69,Clarissa,77,MN,,
70,Clarkfield,87,MN,,
71,Clarks Grove,24,MN,,
72,Clear Lake,71,MN,,
73,Clearbrook,15,MN,,
74,Clearwater,86,MN,,
75,Clearwater,73,MN,,
76,Clements,64,MN,,
77,Cleveland,40,MN,,
78,Climax,60,MN,,
79,Clinton,6,MN,,
80,Clitherall,56,MN,,
81,Clontarf,76,MN,,
82,Cloquet,9,MN,,
83,Coates,19,MN,,
84,Cobden,8,MN,,
85,Cohasset,31,MN,,
86,Cokato,86,MN,,
87,Cold Spring,73,MN,,
88,Coleraine,31,MN,,
89,Cologne,10,MN,,
90,Columbia Heights,2,MN,,
91,Columbus,2,MN,,
92,Comfrey,8,MN,,
93,Comfrey,17,MN,,
94,Comstock,14,MN,,
95,Conger,24,MN,,
96,Cook,69,MN,,
97,Corcoran,27,MN,,
98,Correll,6,MN,,
99,Cosmos,47,MN,,
100,Cottage Grove,82,MN,,
101,Cottonwood,42,MN,,
102,Courtland,52,MN,,
103,Cromwell,9,MN,,
104,Crookston,60,MN,,
105,Crosby,18,MN,,
106,Crosslake,18,MN,,
107,Crystal,27,MN,,
108,Currie,51,MN,,
109,Cuyuna,18,MN,,
110,Cyrus,61,MN,,
111,Dakota,85,MN,,
112,Dalton,56,MN,,
113,Danube,65,MN,,
114,Danvers,76,MN,,
115,Darfur,83,MN,,
116,Darwin,47,MN,,
117,Dassel,47,MN,,
118,Campbell,84,MN,,
119,Canby,87,MN,,
120,Cannon Falls,25,MN,,
121,Canton,23,MN,,
122,Carlos,21,MN,,
123,Carlton,9,MN,,
124,Carver,10,MN,,
125,Cass Lake,11,MN,,
126,Cedar Mills,47,MN,,
127,Centerville,2,MN,,
128,Ceylon,45,MN,,
129,Champlin,27,MN,,
130,Chandler,51,MN,,
131,Chanhassen,10,MN,,
132,Chanhassen,27,MN,,
133,Chaska,10,MN,,
134,Chatfield,23,MN,,
135,Chatfield,55,MN,,
136,Ada,54,MN,,
137,Adams,50,MN,,
138,Adrian,53,MN,,
139,Afton,82,MN,,
140,Aitkin,1,MN,,
141,Akeley,29,MN,,
142,Albany,73,MN,,
143,Albert Lea,24,MN,,
144,Alberta,75,MN,,
145,Albertville,86,MN,,
146,Alden,24,MN,,
147,Aldrich,80,MN,,
148,Alexandria,21,MN,,
149,Alpha,32,MN,,
150,Altura,85,MN,,
151,Alvarado,44,MN,,
152,Amboy,7,MN,,
153,Andover,2,MN,,
154,Annandale,86,MN,,
155,Anoka,2,MN,,
156,Apple Valley,19,MN,,
157,Appleton,76,MN,,
158,Arco,41,MN,,
159,Arden Hills,62,MN,,
