id,city_id,year,utility_id1,residential_electricity,com_and_ind_electricity,residential_wind_electricity,com_and_ind_wind_electricity,utility_id2,residential_electricity2,com_and_ind_electricity2,residential_wind_electricity2,com_and_ind_wind_electricity2,utility_id3,residential_electricity3,com_and_ind_electricity3,residential_wind_electricity3,com_and_ind_wind_electricity3
1,195,2007,1,44857.28,134253.696,0,0,,0,0,0,0,,0,0,0,0
2,195,2008,1,44682.743,131887.364,0,0,,0,0,0,0,,0,0,0,0
3,195,2009,1,45443.864,131207.677,0,0,,0,0,0,0,,0,0,0,0
4,195,2010,1,45256.47,134121.18,0,0,,0,0,0,0,,0,0,0,0
5,195,2011,1,44985.381,134734.715,0,0,,0,0,0,0,,0,0,0,0
6,195,2012,1,44188.903,134557.507,0,0,,0,0,0,0,,0,0,0,0
7,195,2013,1,45798.377,132645.132,0,0,,0,0,0,0,,0,0,0,0
8,22,2007,2,293107,1170405,2526,0,,0,0,0,0,,0,0,0,0
9,22,2008,2,279199,1154683,2621,0,,0,0,0,0,,0,0,0,0
10,22,2009,2,269914,1096228,2633,0,,0,0,0,0,,0,0,0,0
11,22,2010,2,283536,1118570,2566,0,,0,0,0,0,,0,0,0,0
12,22,2011,2,284954,1119580,2586,0,,0,0,0,0,,0,0,0,0
13,22,2012,2,282810,1102287,2592,0,,0,0,0,0,,0,0,0,0
14,22,2013,2,279110,1106478,2678,0,,0,0,0,0,,0,0,0,0
15,56,2007,2,42938,108267,0,0,13,164467.086,211982.136,0,0,14,3208.377,11708.197,0,0
16,56,2008,2,40700,102180,0,0,13,155896.1725,212950.591,0,0,14,3202.28,13505.004,0,0
17,56,2009,2,39516,100120,0,0,13,150330.184,207123.728,0,0,14,3282.984,12948.439,0,0
18,56,2010,2,41465,97356,0,0,13,160142.1345,209281.156,0,0,14,3664.857,13745.007,0,0
19,56,2011,2,41114,100336,0,0,13,154981.792,213331.855,0,0,14,3881.166,14798.397,0,0
20,56,2012,2,40667,100249,0,0,13,156591.087,223234.842,0,0,14,4153.929,15170.257,0,0
21,56,2013,2,40125,102670,0,0,13,152603.414,226819.082,0,0,14,4517.221,14770.992,0,0
22,14,2007,2,61192,130758,335,0,5,136851.706,178076.331,0,0,6,4980.955,1940.11,0,0
23,14,2008,2,57788,129457,369,0,5,129275.051,169197.883,0,0,6,4593.528,2117.255,0,0
24,14,2009,2,56148,126180,346,0,5,125697.521,161579.551,0,0,6,4655.08,2009.358,0,0
25,14,2010,2,58629,129367,339,0,5,130274.03,161423.567,0,0,6,4776.746,1973.209,0,0
26,14,2011,2,57973,129062,351,0,5,129605.17,159177.399,0,0,6,4797.426,2003.582,0,0
27,14,2012,2,57756,134536,384,0,5,130556.13,160751.436,0,0,6,4744.767,649.72,0,0
28,14,2013,2,56497,133820,399,0,5,126597.676,152256.389,0,0,6,4514.56,2001.872,0,0
29,5,2007,7,284674,1130708,0,0,,0,0,0,0,,0,0,0,0
30,5,2008,7,282311,1175714,0,0,,0,0,0,0,,0,0,0,0
31,5,2009,7,279883,1072845,0,0,,0,0,0,0,,0,0,0,0
32,5,2010,7,271207,1167060,0,0,,0,0,0,0,,0,0,0,0
33,5,2011,7,275410,1157233,0,0,,0,0,0,0,,0,0,0,0
34,5,2012,7,269541,1159936,0,0,,0,0,0,0,,0,0,0,0
35,5,2013,7,266667,1162407,0,0,,0,0,0,0,,0,0,0,0
36,17,2007,2,30572,383771,232,0,13,221563.307,386551.507,0,0,,0,0,0,0
37,17,2008,2,29127,399102,244,0,13,196627.65,380050.794,0,0,,0,0,0,0
38,17,2009,2,27971,387545,219,0,13,193453.545,365145.62,0,0,,0,0,0,0
39,17,2010,2,29484,373479,211,0,13,205681.106,388318.516,0,0,,0,0,0,0
40,17,2011,2,29327,377229,198,0,13,196843.179,383295.662,0,0,,0,0,0,0
41,17,2012,2,29500,356747,179,0,13,198929.1,377457.065,0,0,,0,0,0,0
42,17,2013,2,28952,320382,191,0,13,195269.94,362870.786,0,0,,0,0,0,0
43,18,2007,2,235989,593651,1583,0,,0,0,0,0,,0,0,0,0
44,18,2008,2,223398,588434,1743,0,,0,0,0,0,,0,0,0,0
45,18,2009,2,216460,566332,1758,0,,0,0,0,0,,0,0,0,0
46,18,2010,2,225217,561031,1789,0,,0,0,0,0,,0,0,0,0
47,18,2011,2,224221,558610,1704,0,,0,0,0,0,,0,0,0,0
48,18,2012,2,222472,565012,1717,0,,0,0,0,0,,0,0,0,0
49,18,2013,2,217745,564117,1816,0,,0,0,0,0,,0,0,0,0
50,10,2007,2,209821,417860,2829,0,,0,0,0,0,,0,0,0,0
51,10,2008,2,199920,406644,3013,0,,0,0,0,0,,0,0,0,0
52,10,2009,2,195762,391709,2927,0,,0,0,0,0,,0,0,0,0
53,10,2010,2,204219,400558,2925,0,,0,0,0,0,,0,0,0,0
54,10,2011,2,205243,393159,2877,0,,0,0,0,0,,0,0,0,0
55,10,2012,2,205839,399384,2875,0,,0,0,0,0,,0,0,0,0
56,10,2013,2,205792,390921,2869,0,,0,0,0,0,,0,0,0,0
57,333,2007,9,77824.755,133474.131,0,0,5,18466.493,27583.17,0,0,,0,0,0,0
58,333,2008,9,76401.389,147824.659,0,0,5,16760.193,28621.98,0,0,,0,0,0,0
59,333,2009,9,75603.772,157168.95,0,0,5,16051.561,25685.688,0,0,,0,0,0,0
60,333,2010,9,79431.499,171280.335,0,0,5,16192.349,21347.451,0,0,,0,0,0,0
61,333,2011,9,78907.588,182327.709,0,0,5,16508.425,23965.017,0,0,,0,0,0,0
62,333,2012,9,79553.701,193902.145,0,0,5,16526.067,17302.249,0,0,,0,0,0,0
63,333,2013,9,78784.597,195160.757,0,0,5,16153.801,18230.086,0,0,,0,0,0,0
64,11,2007,2,14127,8593,421,0,,0,0,0,0,,0,0,0,0
